,0
0,0.02575705860868074
1,0.023925647208986323
2,0.026240738794842053
3,0.025013766751715193
4,0.02831057777013137
5,0.024655005707946407
6,0.021394174709013503
7,0.022342690148002876
8,0.024714081419658446
9,0.02293583238853861
10,0.024383590832032582
11,0.024837268728080224
12,0.02348088638698289
13,0.025244941499416338
14,0.02406045492351262
15,0.023974036758263997
16,0.02068776933937187
17,0.025095315072231325
18,0.022309958910086126
19,0.027014004598629862
20,0.024238238713203315
21,0.027778783797765633
22,0.023393954621859545
23,0.027504612036444515
24,0.024399763301180145
25,0.0249659909822117
26,0.02277487719645842
27,0.02398548439912853
28,0.02764913872973544
29,0.0203102730584412
30,0.024450854271904243
31,0.02282129025387888
32,0.025670433052722055
33,0.02530732822416466
34,0.024249958313560933
35,0.024569891325857414
36,0.024460879349812416
37,0.023421637921017643
38,0.023798332530617604
39,0.024516491706353238
40,0.021352283966793156
41,0.02438866387521703
42,0.02511119247354259
43,0.02118614653066038
44,0.0257100268868244
45,0.023759162735800064
46,0.021385931709697516
47,0.02084246167939872
48,0.02525111555600449
49,0.023054325618737406
50,0.022790019436470927
51,0.02304228259738564
52,0.02249191196222756
53,0.024608109778506457
54,0.02097595664734819
55,0.019128517920993744
56,0.023410850925966228
57,0.023977577631793392
58,0.02338065411587456
59,0.02486710925966254
60,0.02353672927995021
61,0.025539970599898085
62,0.023309320268955463
63,0.024724253865065264
64,0.02390095633256295
65,0.02447571961562692
66,0.02537879603720385
67,0.025202795478406655
68,0.023613290122441965
69,0.02414224477902337
70,0.025891966244009103
71,0.02291444310134361
72,0.02057840124298391
73,0.024302862354608847
74,0.023863740238959773
75,0.024460270913370944
76,0.024652859213353587
77,0.022466850403624346
78,0.02627592241869275
79,0.023121116311111113
80,0.023145713142774582
81,0.025286852377438034
82,0.025694024643178923
83,0.02470085836071948
84,0.023220289646565927
85,0.02622643203104727
86,0.025327911092452533
87,0.023408479385078795
88,0.023955334634487086
89,0.026149943667861573
90,0.025010196499663222
91,0.026364379052590894
92,0.02763379328231425
93,0.025986812693825405
94,0.02397841795898953
95,0.024737448457016257
96,0.023263895998664966
97,0.02523054949701613
98,0.023241203077490488
99,0.02374469226171801
100,0.02598204944569113
101,0.025660125473759388
102,0.02473496119387301
103,0.020458574574507452
104,0.02411952211794061
105,0.027519920275024347
106,0.023571671564839088
107,0.022088981160015193
108,0.022914988247851036
109,0.024814745444966514
110,0.021151189407394032
111,0.02377058075065992
112,0.022543704027567585
113,0.021326427880310923
114,0.025917862886820887
115,0.02317896470731974
116,0.022290385917529302
117,0.026222434033170778
118,0.024256792805577312
119,0.026219403315554543
120,0.026235094444025785
121,0.024277275485409068
122,0.023500507496724277
123,0.024874341664776384
124,0.025591294385539618
125,0.025272867233621373
126,0.026559237129229942
127,0.02228505768542624
128,0.021712289300427155
129,0.026904784218125116
130,0.02462556921119315
131,0.024033236240049317
132,0.02368282596888889
133,0.0231804499122974
134,0.02227869030993663
135,0.024778292848846424
136,0.024755665608401395
137,0.023572226834463104
138,0.023570209273677565
139,0.02102399262201909
140,0.023986016207469645
141,0.026248389444469392
142,0.02177833040204783
143,0.023271420815114983
144,0.022599529311358762
145,0.02299956929394418
146,0.022694395220846795
147,0.022087699419893754
148,0.02297711991781684
149,0.026363135454451087
150,0.023801673233778957
